,Age,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Age_Group,Risk_int
0,67,0,2,0,0,0,1169,6,5,3,1
1,22,1,2,0,0,1,5951,48,5,0,0
2,49,0,1,0,0,0,2096,12,3,2,1
3,45,0,2,2,0,0,7882,42,4,2,1
4,53,0,2,2,0,0,4870,24,1,2,0
5,35,0,1,2,0,0,9055,36,3,1,1
6,53,0,2,0,2,0,2835,24,4,2,1
7,35,0,3,1,0,1,6948,36,1,1,1
8,61,0,1,0,3,0,3059,12,5,3,1
9,28,0,3,0,0,1,5234,30,1,0,0
10,25,1,2,1,0,1,1295,12,1,0,0
11,24,1,2,1,0,0,4308,48,0,0,0
12,22,1,2,0,0,1,1567,12,5,0,1
13,60,0,1,0,0,0,1199,24,1,3,0
14,28,1,2,1,0,0,1403,15,1,0,1
15,32,1,1,0,1,0,1282,24,5,1,0
16,53,0,2,0,0,0,2424,24,5,2,1
17,25,0,2,0,0,0,8072,30,0,0,1
18,44,1,3,2,0,1,12579,24,1,2,0
19,31,0,2,0,2,0,3430,24,5,1,1
20,48,0,2,0,0,0,2134,9,1,2,1
21,44,0,2,1,2,0,2647,6,5,2,1
22,48,0,1,1,0,0,2241,10,1,2,1
23,44,0,2,0,1,1,1804,12,1,2,1
24,26,0,2,0,0,0,2069,10,4,0,1
25,36,0,1,0,0,0,1374,6,4,1,1
26,39,0,1,0,0,0,426,6,5,1,1
27,42,1,2,1,3,2,409,12,5,2,1
28,34,0,2,0,0,1,2415,7,5,1,1
29,63,0,2,0,0,0,6836,60,0,3,0
30,36,0,2,0,3,1,1913,18,0,1,1
31,27,0,2,0,0,0,4020,24,4,0,1
32,30,0,2,0,1,1,5866,18,1,1,1
33,57,0,1,1,0,0,1264,12,0,3,1
34,33,1,3,0,0,2,1474,12,4,1,1
35,25,0,1,0,0,1,4746,45,5,0,0
36,31,0,2,2,0,0,6110,48,3,1,1
37,37,0,2,0,0,2,2100,18,5,1,0
38,37,0,2,0,0,2,1225,10,2,1,1
39,24,0,2,0,0,1,458,9,5,0,1
40,30,0,3,0,2,0,2333,30,5,1,1
41,26,0,2,0,2,1,1158,12,5,0,1
42,44,0,1,0,0,1,6204,18,6,2,1
43,24,0,2,1,1,0,6187,30,1,0,1
44,58,1,1,2,0,0,6143,48,1,3,0
45,35,1,3,0,0,0,1393,11,1,1,1
46,39,0,2,0,2,0,2299,36,5,1,1
47,23,1,0,1,2,0,1352,6,1,0,1
48,39,0,1,0,0,0,7228,11,1,1,1
49,28,1,2,0,1,0,2073,12,5,0,1
50,29,0,1,0,0,1,2333,24,4,0,1
51,30,0,3,0,0,1,5965,27,1,1,1
52,25,0,2,0,0,0,1262,12,5,0,1
53,31,0,2,0,0,0,3378,18,1,1,1
